,,,,
List of environmental statutes,,,,
,,,,
Act Number,Name of the Act,Act Abb.,USC Citation,Year
1,American Innovation and Manufacturing Act (AIM),AIM,42 USC 7675,2020
2,Atomic Energy Act (AEA),AEA,42 U.S.C. 2011,1946
3,Beaches Environmental Assessment and Coastal Health (BEACH) Act,BEACH,33 U.S.C. 1313,2000
4,Clean Air Act (CAA),CAA,42 U.S.C. 7401,1970
5,Clean Water Act (CWA),CWA,33 U.S.C. 1251,1972
6,"Comprehensive Environmental Response, Compensation and Liability Act (CERCLA, or Superfund)",CERCLA,42 U.S.C. 9601,1980
7,Emergency Planning and Community Right-to-Know Act (EPCRA),EPCRA,42 U.S.C. 11001,1986
8,Endangered Species Act (ESA),ESA,16 U.S.C. 1531,1973
9,Energy Independence and Security Act (EISA),EISA,42 U.S.C. 17013,2007
10,Energy Policy Act,EPA,42 USC 13201,2005
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 301,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 321,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 331,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 332,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 333,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 334,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 335,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 336,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 337,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 341,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 342,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 343,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 344,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 345,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 346,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 347,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 348,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 349,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 350,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 351,2002
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 352,2002
