,,,,,,,
List of permitting statutes,,,,,,,
,,,,,,,
Act Number,Name of the Act,Act Abb.,Publication Code,Date,Previous,USC Citation Raw,USC Citation
1,National Environmental Policy Act,NEPA,"Pub. L. 91–190, 83 Stat. 852","Jan. 1, 1970",0,42 U.S.C. 4321 et seq.,42 U.S.C. 4321
2,Endangered Species Act,ESA,"Pub. L. 93–205, 87 Stat. 884","Dec. 28, 1973",0,16 U.S.C. 1531 et seq.,16 U.S.C. 1531
3,Federal Water Pollution Control Act (Clean Water Act),CWA,-,-,0,33 U.S.C. 1251 et seq.,33 U.S.C. 1251
4,National Historic Preservation Act,NHPA,"Pub. L. 89–665, 80 Stat. 915","Oct. 15, 1966",1,16 U.S.C. 470 et seq.,16 U.S.C. 470
4,National Historic Preservation Act,NHPA,"Pub. L. 89–665, 80 Stat. 915","Oct. 15, 1966",0,54 U.S.C. 100101 note,54 U.S.C. 100101
4,National Historic Preservation Act,NHPA,"Pub. L. 89–665, 80 Stat. 915","Oct. 15, 1966",0,54 U.S.C. 300101 et seq.,54 U.S.C. 300101
5,Migratory Bird Treaty Act,MBTA,-,-,0,16 U.S.C. 703 et seq.,16 U.S.C. 703
6,Migratory Bird Conservation Act,-,-,-,0,16 U.S.C. 715 et seq.,16 U.S.C. 715
7,Clean Air Act,CAA,-,-,0,42 U.S.C. 7401 et seq.,42 U.S.C. 7401
8,Archeological Resources Protection Act,ARPA,"Pub. L. 96–95, 93 Stat. 721","Oct. 31, 1979",0,16 U.S.C. 470aa et seq.,16 U.S.C. 470aa
9,Paleontological Resources Preservation Act,-,-,-,0,16 U.S.C. 470aaa et seq.,16 U.S.C. 470aaa
10,Safe Drinking Water Act,SDWA,-,-,0,42 U.S.C. 300f et seq.,42 U.S.C. 300f
11,Noise Control Act,-,-,-,0,42 U.S.C. 4901 et seq.,42 U.S.C. 4901
12,Solid Waste Disposal Act (Resource Conservation and Recovery Act),RCRA,-,-,0,42 U.S.C. 6901 et seq.,42 U.S.C. 6901
13,"Comprehensive Environmental Response, Compensation, and Liability Act",CERCLA,-,-,0,42 U.S.C. 9601 et seq.,42 U.S.C. 9601
14,Archaeological and Historic Preservation Act,AHPA,"Pub. L. 86–523, 74 Stat. 220",27-Jun-60,1,16 U.S.C. 469 et seq,16 U.S.C. 469
14,Archaeological and Historic Preservation Act,AHPA,"Pub. L. 86–523, 74 Stat. 220",27-Jun-60,0,54 U.S.C. 312502 et seq.,54 U.S.C. 312502
15,Antiquities Act,-,-,-,1,16 U.S.C. 469 et seq.,16 U.S.C. 469
15,Antiquities Act,-,-,-,0,54 U.S.C. 312502 et seq.,54 U.S.C. 312502
16,"Historic Sites, Buildings, and Antiquities Act",-,-,-,1,16 U.S.C. 461 et seq.,16 U.S.C. 461
16,"Historic Sites, Buildings, and Antiquities Act",-,-,-,0,54 U.S.C. 3201,54 U.S.C. 3201
16,"Historic Sites, Buildings, and Antiquities Act",-,-,-,0,54 U.S.C. 3202,54 U.S.C. 3202
16,"Historic Sites, Buildings, and Antiquities Act",-,-,-,0,54 U.S.C. 3203,54 U.S.C. 3203
17,Farmland Protection Policy Act,FPPA,-,-,0,7 U.S.C. 4201 et seq.,7 U.S.C. 4201
18,National Wildlife Refuge System Administration Act,-,"Pub. L. 89–669, 80 Stat. 926","Oct. 15, 1966",0,16 U.S.C. 668dd-668ee,16 U.S.C. 668dd
18,National Wildlife Refuge System Administration Act,-,"Pub. L. 89–669, 80 Stat. 926","Oct. 15, 1966",0,16 U.S.C. 668dd-668ee,16 U.S.C. 668ee
19,National Fish and Wildlife Act of 1956,-,"Pub. L. 84–1024, 70 Stat. 1119","Aug. 8, 1956",0,16 U.S.C. 742a et seq.,16 U.S.C. 742a
20,Fish and Wildlife Coordination Act,-,"Pub. L. 73–121, 48 Stat. 401",10-Mar-34,0,16 U.S.C. 661 et seq.,16 U.S.C. 661
21,National Trails System Act,-,-,-,0,16 U.S.C. 1241 et seq.,16 U.S.C. 1241
22,Administrative Procedure Act,APA,-,-,0,5 U.S.C. 551 et seq.,5 U.S.C. 551
23,Eagle Protection Act,-,-,-,0,16 U.S.C. 668 et seq.,16 U.S.C. 668
24,Native American Graves Protection and Repatriation Act,NAGPRA,-,-,0,25 U.S.C. 3001 et seq.,25 U.S.C. 3001
25,American Indian Religious Freedom Act,AIRFA,-,-,0,42 U.S.C. 1996,42 U.S.C. 1996
26,Federal Land Policy and Management Act,FLPMA,"Pub. L. 94–579, 90 Stat. 2743","Oct. 21, 1976",0,43 U.S.C. 1701 et seq.,43 U.S.C. 1701
,,,,,,,
Source: Extracted from FR Doc. 2023–22176.,,,,,,,
